ts,timestamp,latitudeLog,longitudeLog,temp_data,hPa_data,hum_data,lux_data,ox_data,red_data,nh3_data,pm1_data,pm25_data,pm10_data
1637317389,19/11/2021 10:23,52.07881833,5.12474,20.20661619,1029.67843,59.7633398,1721.82185,4.333006856,504,116.0670391,5,8,9
1637317392,19/11/2021 10:23,52.07881833,5.12474,20.21412863,1029.676898,59.51716909,1724.01625,4.333006856,504,117.0337079,5,8,9
1637317394,19/11/2021 10:23,52.07881833,5.124741667,20.23262436,1029.664785,59.29919546,1719.7929,4.333006856,498.954955,117.5211268,5,9,10
1637317397,19/11/2021 10:23,52.07881833,5.124741667,20.23534162,1029.661303,59.17617354,1709.94475,4.333006856,498.954955,117.5211268,6,9,10
1637317400,19/11/2021 10:23,52.07882,5.124741667,20.24011396,1029.657429,59.11493286,1697.95735,4.392156863,498.954955,117.5211268,6,9,10
1637317402,19/11/2021 10:23,52.07882,5.124741667,20.23920054,1029.65277,58.96970626,1689.0866,4.392156863,504,118.0112994,6,9,10
1637317405,19/11/2021 10:23,52.07882,5.124741667,20.2324644,1029.660099,58.92521474,1662.5485,4.392156863,498.954955,118.0112994,6,9,10
1637317407,19/11/2021 10:23,52.07882,5.124741667,20.25118853,1029.663649,59.09922591,1642.2437,4.392156863,498.954955,117.5211268,6,9,10
1637317410,19/11/2021 10:23,52.07882,5.124741667,20.27307519,1029.662275,59.07146995,1612.4045,4.392156863,498.954955,117.0337079,6,9,9
1637317413,19/11/2021 10:23,52.07882,5.124741667,20.28163804,1029.666365,58.94278271,1586.4749,4.392156863,498.954955,117.0337079,6,9,9
1637317415,19/11/2021 10:23,52.07882,5.124743333,20.29904918,1029.666316,58.90949492,1562.68455,4.392156863,498.954955,117.5211268,6,9,9
1637317418,19/11/2021 10:23,52.07882,5.124743333,20.31406272,1029.66787,58.89294057,1534.0072,4.392156863,498.954955,118.0112994,6,9,9
1637317420,19/11/2021 10:23,52.07882,5.124745,20.31132261,1029.667249,58.85916544,1495.3524,4.451422964,498.954955,118.5042493,6,9,9
1637317423,19/11/2021 10:23,52.07882,5.124745,20.27419402,1029.673727,58.90974484,1465.56835,4.451422964,498.954955,118.0112994,6,9,9
1637317426,19/11/2021 10:23,52.07882,5.124745,20.27693413,1029.674348,58.83130533,1447.6424,4.451422964,498.954955,118.0112994,6,9,10
1637317428,19/11/2021 10:23,52.07882,5.124745,20.28064472,1029.667756,58.85917929,1429.10795,4.451422964,498.954955,118.5042493,6,10,10
1637317431,19/11/2021 10:23,52.07881833,5.124746667,20.28230022,1029.666709,58.92624325,1409.78055,4.451422964,498.954955,118.5042493,7,10,10
1637317434,19/11/2021 10:23,52.07881833,5.124746667,20.27407989,1029.659691,58.95396179,1388.49835,4.451422964,498.954955,118.5042493,7,9,9
1637317436,19/11/2021 10:23,52.07881833,5.124745,20.29034935,1029.669849,59.03778117,1367.21615,4.451422964,498.954955,118.5042493,6,10,11
1637317439,19/11/2021 10:23,52.07881833,5.124745,20.27602084,1029.672743,58.93654647,1348.4421,4.510805501,498.954955,118.0112994,7,10,11
1637317441,19/11/2021 10:24,52.07881833,5.124746667,20.27193352,1029.675915,58.96416584,1335.1084,4.510805501,498.954955,117.5211268,7,9,10
1637317444,19/11/2021 10:24,52.07881833,5.124746667,20.26542576,1029.688607,58.90219052,1317.4962,4.510805501,498.954955,117.5211268,6,7,8
1637317447,19/11/2021 10:24,52.07881833,5.124746667,20.26713833,1029.68599,58.93031049,1308.62545,4.510805501,494,117.0337079,5,8,9
